Country,Rank by rate of ownership,Average,Low firearms per 100 people,High firearms per 100 people,total,Low total,High total,Registered,"Total from registered gunscorrelation",Total from regional or global correlation,"GNI (2005$)per capita",Population
Ireland,70,8.6,8.6,8.6,360000,,,209000,358644,,41140,4159100
Portugal,72,8.5,8.5,8.5,900000,900000,900000,,,,17190,10549500
Slovakia,73,8.3,8.3,8.3,450000,,,170357,449231,,7950,5387000
Jamaica,74,8.1,6.2,10,215000,165000,265000,65000,,,3390,2654500
Brazil,75,8,8,8,14840000,14840000,14840000,5240000,,,3550,186405000
Barbados,76,7.8,7.8,7.8,21000,,,,,21000,19000,269600
Nicaragua,77,7.7,6.2,9.1,395000,320000,470000,70000,,,950,5149400
Algeria,78,7.6,7.6,7.6,1900000,,,,,2511344,2730,32853800
Belarus,79,7.3,4.5,10,710000,441000,980000,170853,,,2760,9775600
Georgia,79,7.3,5.5,9.1,330000,248000,409000,159000,,,1320,4474400
Iran,79,7.3,7.3,7.3,3500000,,,,,4968680,2600,68251100
Israel,79,7.3,7.3,7.3,500000,503000,503000,403000,,,18580,6923600
Moldova,83,7.1,6.9,7.3,300000,289000,307000,236000,,,930,4205800
Ukraine,84,6.6,6.6,6.6,3100000,2200000,6300000,,,3100000,1520,47075300
Maldives,85,6.5,6.5,6.5,21000,,,,,21385,2320,329200
Kenya,86,6.4,4.5,8.2,740000,530000,960000,,,,540,11658200
Swaziland,86,6.4,6.4,6.4,72000,,,,,72203,2280,1131000
Bulgaria,88,6.2,5.2,7.2,480000,400000,560000,300000,,,3450,7740000
England & Wales,88,6.2,3.7,8.7,3400000,2000000,4700000,1742300,,,29900,53728900
Honduras,88,6.2,5.6,6.9,500000,400000,500000,88337,,,1120,7204800
Colombia,91,5.9,5,6.8,2700000,2300000,3100000,706210,,,2290,45600300
El Salvador,92,5.8,5.8,5.8,400000,400000,400000,175000,,,2450,6881000
Hungary,93,5.5,5.5,5.5,560000,,,211300,557198,,10070,10087100
Scotland,93,5.5,3,8,280000,155000,410000,192333,,,32000,5116900
Sudan,93,5.5,4.1,6.9,2000000,1500000,2500000,6724,,,640,36233000
Cape Verde,96,5.4,5.4,5.4,9500,,,,,27387,1930,506800
Seychelles,96,5.4,3,7.9,4600,2500,6700,,,,8180,84500
Bahamas,98,5.3,2.9,7.7,17000,9500,25000,,,,25000,323100
Dominican Republic,99,5.1,5.1,5.1,450000,,,,,450000,2850,8894900
Mozambique,99,5.1,2.5,7.6,1000000,500000,1500000,7000,,,310,19792300
Morocco,101,5,5,5,1500000,1500000,1500000,,,,1740,30168100
Botswana,102,4.9,4.9,4.9,87000,,,32901,86760,,5590,1765000
China,102,4.9,4.9,4.9,40000000,,,680000,,63555240,1740,1304500000
Cuba,104,4.8,4.8,4.8,545000,,,,,544123,4500,11269400
Philippines,105,4.7,3.4,6,3900000,2800000,5000000,775000,,,1320,83054500
Afghanistan,106,4.4,2.2,6.6,1000000,500000,1500000,,,,260,22877000
Taiwan,106,4.4,4.4,4.4,725000,,,,,725000,17230,16319900
Zimbabwe,106,4.4,4.4,4.4,400000,400000,400000,,,,350,9182000
Cambodia,109,4.3,2.1,6.4,600000,300000,900000,,,,430,14071000
India,110,4.2,2.9,5.5,46000000,32000000,60000000,5500000,,,730,1094583000
Myanmar,111,4,4,4,2000000,,,,,2000000,220,50519500
Netherlands,112,3.9,3.5,4.4,510000,450000,570000,330000,,,39340,13009600
Syria,112,3.9,3.9,3.9,735000,,,,,186759,1380,4833300
